name,composer,genre,key,year,instruments,details_url,tags,catalogue_code,file_urls,raw_file_path,source_url,processed_file_path
"N6e. Chopin, Mazurka, op. 41 no. 2, mm. 1-8","Chopin, Frederic",,a minor,,,http://kern.ccarh.org/cgi-bin/ksdata?location=users/cutler/tmte/ch24&file=N6e.krn&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/cutler/tmte/ch24&file=N6e.mid,data/files_kernscores/859c17427b612d62aac51ab14ad809c7ff62d722.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/cutler/tmte/ch24&file=N6e.mid,data/normalized/859c17427b612d62aac51ab14ad809c7ff62d722.xml
"Mazurka in C-sharp Minor, Op. 63, No. 3","Chopin, Frederic",,c# minor,1846,,http://kern.ccarh.org/cgi-bin/ksdata?location=users/craig/classical/chopin/mazurka&file=mazurka63-3.krn&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/chopin/mazurka&file=mazurka63-3.mid,data/files_kernscores/c05aff259adc395acca7cb42cff8b941f63dfb0a.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/chopin/mazurka&file=mazurka63-3.mid,data/normalized/c05aff259adc395acca7cb42cff8b941f63dfb0a.xml
Fugue,"Bach, Johann Sebastian",Baroque,b minor,1742,,http://kern.humdrum.org/cgi-bin/ksdata?file=wtc2f24.krn&l=musedata/bach/keyboard/wtc&format=info,,BWV 893,http://kern.humdrum.org/cgi-bin/ksdata?l=musedata/bach/keyboard/wtc&file=wtc2f24.mid,data/files_kernscores/cd1f471606732412448ecafc853a2b68da0c95f8.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=musedata/bach/keyboard/wtc&file=wtc2f24.mid,data/normalized/cd1f471606732412448ecafc853a2b68da0c95f8.xml
Piano Sonata No. 3 in B-flat major,"Mozart, Wolfgang Amadeus",,B- major,1774,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata03-1.krn&l=users/craig/classical/mozart/piano/sonata&format=info,,K,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/mozart/piano/sonata&file=sonata03-1.mid,data/files_kernscores/fa8b6eb1aa5e7a31156d2e9fcf47218dc699e0eb.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/mozart/piano/sonata&file=sonata03-1.mid,data/normalized/fa8b6eb1aa5e7a31156d2e9fcf47218dc699e0eb.xml
Fugue,"Bach, Johann Sebastian",Baroque,g# minor,1742,,http://kern.humdrum.org/cgi-bin/ksdata?file=wtc2f23.krn&l=musedata/bach/keyboard/wtc&format=info,,BWV 892,http://kern.humdrum.org/cgi-bin/ksdata?l=musedata/bach/keyboard/wtc&file=wtc2f23.mid,data/files_kernscores/5e5c35310383699098841f2a7760a6f6e0a09a36.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=musedata/bach/keyboard/wtc&file=wtc2f23.mid,data/normalized/5e5c35310383699098841f2a7760a6f6e0a09a36.xml
Prelude,"Bach, Johann Sebastian",Baroque,b minor,1742,,http://kern.humdrum.org/cgi-bin/ksdata?file=wtc2p24.krn&l=musedata/bach/keyboard/wtc&format=info,,BWV 893,http://kern.humdrum.org/cgi-bin/ksdata?l=musedata/bach/keyboard/wtc&file=wtc2p24.mid,data/files_kernscores/7d0d99d532e9c92a6e5ee054bddf8a4cc6a22a1c.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=musedata/bach/keyboard/wtc&file=wtc2p24.mid,data/normalized/7d0d99d532e9c92a6e5ee054bddf8a4cc6a22a1c.xml
"Etude, Op. 8, No. 6","Scriabin, Alexander",,A major,1894,,http://kern.ccarh.org/cgi-bin/ksdata?location=users/craig/classical/scriabin/op8&file=etude8-06.krn&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op8&file=etude8-06.mid,data/files_kernscores/1c0632def24a9a4ca9951f2e5734cdfe9ec19748.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op8&file=etude8-06.mid,data/normalized/1c0632def24a9a4ca9951f2e5734cdfe9ec19748.xml
"Etude, Op. 8, No. 9","Scriabin, Alexander",,g# minor,1894,,http://kern.ccarh.org/cgi-bin/ksdata?location=users/craig/classical/scriabin/op8&file=etude8-09.krn&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op8&file=etude8-09.mid,data/files_kernscores/d079c75d77bee7c389403acfe4982c9ed29b7b39.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op8&file=etude8-09.mid,data/normalized/d079c75d77bee7c389403acfe4982c9ed29b7b39.xml
"Etude, Op. 8, No. 4","Scriabin, Alexander",,B major,1894,,http://kern.ccarh.org/cgi-bin/ksdata?location=users/craig/classical/scriabin/op8&file=etude8-04.krn&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op8&file=etude8-04.mid,data/files_kernscores/3ec2303aa4f57168a42a2cc5f7976c214f5e7a8d.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op8&file=etude8-04.mid,data/normalized/3ec2303aa4f57168a42a2cc5f7976c214f5e7a8d.xml
"Prelude Op. 59, No. 2","Scriabin, Alexander",,g minor,1910,,http://kern.ccarh.org/cgi-bin/ksdata?location=users/craig/classical/scriabin/op59&file=prelude59-2.krn&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op59&file=prelude59-2.mid,data/files_kernscores/801935d5f0117f3280463da1201d2393d05d5224.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op59&file=prelude59-2.mid,data/normalized/801935d5f0117f3280463da1201d2393d05d5224.xml
"Etude Op. 65, No. 2","Scriabin, Alexander",,d minor,1911-1912,,http://kern.ccarh.org/cgi-bin/ksdata?location=users/craig/classical/scriabin/op65&file=etude65-2.krn&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op65&file=etude65-2.mid,data/files_kernscores/e18e2d04b6743704506aa12e12a8b720efbc928b.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op65&file=etude65-2.mid,data/normalized/e18e2d04b6743704506aa12e12a8b720efbc928b.xml
"Etude, Op. 8, No. 3","Scriabin, Alexander",,b minor,1894,,http://kern.ccarh.org/cgi-bin/ksdata?location=users/craig/classical/scriabin/op8&file=etude8-03.krn&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op8&file=etude8-03.mid,data/files_kernscores/140913fd57de6178f4a17c4c44284063291e531e.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op8&file=etude8-03.mid,data/normalized/140913fd57de6178f4a17c4c44284063291e531e.xml
"Etude Op. 65, No. 3","Scriabin, Alexander",,d minor,1911-1912,,http://kern.ccarh.org/cgi-bin/ksdata?location=users/craig/classical/scriabin/op65&file=etude65-3.krn&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op65&file=etude65-3.mid,data/files_kernscores/f38d20c4731a1256b9d3cb4f4b62eb0f8ace6899.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op65&file=etude65-3.mid,data/normalized/f38d20c4731a1256b9d3cb4f4b62eb0f8ace6899.xml
Sonata in E minor,"Grieg, Edvard",,e minor,1865-1867,,http://kern.humdrum.org/cgi-bin/ksdata?file=op07-1.krn&l=users/craig/classical/grieg/op07&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/grieg/op07&file=op07-1.mid,data/files_kernscores/27c5556cf82b3420c9bd407dcbd8dbcf544f1470.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/grieg/op07&file=op07-1.mid,data/normalized/27c5556cf82b3420c9bd407dcbd8dbcf544f1470.xml
Something Doing,"Joplin, Scott",,F major,1903,,http://kern.humdrum.org/cgi-bin/ksdata?file=something.krn&l=users/craig/ragtime/joplin&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/ragtime/joplin&file=something.mid,data/files_kernscores/3960ff21bfe3c756479fa129d8215dbbf79a90cf.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/ragtime/joplin&file=something.mid,data/normalized/3960ff21bfe3c756479fa129d8215dbbf79a90cf.xml
School of Ragtime,"Joplin, Scott",,C major,1906,,http://kern.humdrum.org/cgi-bin/ksdata?file=school.krn&l=users/craig/ragtime/joplin&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/ragtime/joplin&file=school.mid,data/files_kernscores/2f34b65c9eb72f53255ea2ef32c00be000fa38a8.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/ragtime/joplin&file=school.mid,data/normalized/2f34b65c9eb72f53255ea2ef32c00be000fa38a8.xml
Peacherine Rag,"Joplin, Scott",,E- major,1901,,http://kern.humdrum.org/cgi-bin/ksdata?file=peacherine.krn&l=users/craig/ragtime/joplin&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/ragtime/joplin&file=peacherine.mid,data/files_kernscores/735ff3ba789ceae5963cfa80fc5965fa99b77228.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/ragtime/joplin&file=peacherine.mid,data/normalized/735ff3ba789ceae5963cfa80fc5965fa99b77228.xml
Felicity Rag,"Joplin, Scott",,C major,1911,,http://kern.humdrum.org/cgi-bin/ksdata?file=felicity.krn&l=users/craig/ragtime/joplin&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/ragtime/joplin&file=felicity.mid,data/files_kernscores/d1dc7aa49170c759af9755b3ec3e8d27935ad261.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/ragtime/joplin&file=felicity.mid,data/normalized/d1dc7aa49170c759af9755b3ec3e8d27935ad261.xml
