,composer,details_url,duration,filename_xml,genre,hasError,key,name,primary_time_signature,secondary_time_signatures,source_url,tempo,year
0,A. Adam,piece-info.cgi?id=897,72.0,../data/output/6e355a07d5531f372a2f7fb9ac084a120c34440a.xml,Classical,False,G major,Giselle - Pas de deux (1er Acte),4/4,[],,80.0, 
1,I. M. F. Albéniz,piece-info.cgi?id=898,262.0,../data/output/cf0e37cd297b4b030a506f1e1e2c637352dcc12d.xml,Romantic,False,d minor,Rumores de la Caleta,4/4,[],,60.0,1887
2,J. André,piece-info.cgi?id=207,95.76923076923076,../data/output/9235e4d8f77349089d45f475fb852ab71c954de8.xml,Classical,False,C major,Sonatine,4/4,[],,104.0,18th Century
3,Anonymous,piece-info.cgi?id=679,33.62637362637363,../data/output/6ece453ca4108e48ea6e6d0fec6996441adc09b5.xml,Popular / Dance,False,D major,La Native,4/4,[],,91.0,c1860
4,Anonymous,piece-info.cgi?id=680,41.86046511627907,../data/output/96b2c5072caf99d739a42bad844e11b6003445aa.xml,Popular / Dance,False,G major,Les Graces,4/4,[],,86.0,c1860
5,C. P. E. Bach,piece-info.cgi?id=177,450.9090909090909,../data/output/bde0c398ce976bdc4f8dabdb593ebefd695418f8.xml,Classical,False,f minor,Rondo in E-flat Major,4/4,[],,66.0,18th Century
6,J. S. Bach,piece-info.cgi?id=1013,48.0,../data/output/86957eab3117ac72af21b65702fadd3fac7668e2.xml,Baroque,False,F major,Polonaise in F major,4/4,[],,60.0, 
7,J. S. Bach,piece-info.cgi?id=378,52.5,../data/output/c7431346d0708b2ee02c2830dc6ecfacb873be6c.xml,Baroque,False,G major,Aus meines Herzens Grunde (Chorale 1),4/4,[],,72.0,1784-1787
8,J. S. Bach,piece-info.cgi?id=379,43.333333333333336,../data/output/95dc5788932d8b4dab93922879a228543069e2b6.xml,Baroque,False,A major,"Ich dank dir, lieber Herre",4/4,[],,72.0,1784-1787
9,J. S. Bach,piece-info.cgi?id=2106,59.14285714285714,../data/output/7195df96d3fa2bcdb441a018188ff6916992e51e.xml,Baroque,False,F major,"Ermuntre dich, mein schwacher Geist",4/4,[],,70.0,1736
