,Unnamed: 0,composer,details_url,duration,filename_xml,genre,hasError,key,name,primary_time_signature,secondary_time_signatures,source_url,tempo,year
0,0.0,A. Adam,piece-info.cgi?id=897,72.0,../data/output/6e355a07d5531f372a2f7fb9ac084a120c34440a.xml,Classical,False,G major,Giselle - Pas de deux (1er Acte),4/4,[],,80.0, 
1,1.0,I. M. F. Albéniz,piece-info.cgi?id=898,262.0,../data/output/cf0e37cd297b4b030a506f1e1e2c637352dcc12d.xml,Romantic,False,d minor,Rumores de la Caleta,4/4,[],,60.0,1887
2,2.0,J. André,piece-info.cgi?id=207,95.76923076923076,../data/output/9235e4d8f77349089d45f475fb852ab71c954de8.xml,Classical,False,C major,Sonatine,4/4,[],,104.0,18th Century
3,3.0,Anonymous,piece-info.cgi?id=679,33.62637362637363,../data/output/6ece453ca4108e48ea6e6d0fec6996441adc09b5.xml,Popular / Dance,False,D major,La Native,4/4,[],,91.0,c1860
4,4.0,Anonymous,piece-info.cgi?id=680,41.860465116279066,../data/output/96b2c5072caf99d739a42bad844e11b6003445aa.xml,Popular / Dance,False,G major,Les Graces,4/4,[],,86.0,c1860
5,5.0,C. P. E. Bach,piece-info.cgi?id=177,450.9090909090909,../data/output/bde0c398ce976bdc4f8dabdb593ebefd695418f8.xml,Classical,False,f minor,Rondo in E-flat Major,4/4,[],,66.0,18th Century
6,6.0,J. S. Bach,piece-info.cgi?id=1013,48.0,../data/output/86957eab3117ac72af21b65702fadd3fac7668e2.xml,Baroque,False,F major,Polonaise in F major,4/4,[],,60.0, 
7,7.0,J. S. Bach,piece-info.cgi?id=378,52.5,../data/output/c7431346d0708b2ee02c2830dc6ecfacb873be6c.xml,Baroque,False,G major,Aus meines Herzens Grunde (Chorale 1),4/4,[],,72.0,1784-1787
8,8.0,J. S. Bach,piece-info.cgi?id=379,43.33333333333334,../data/output/95dc5788932d8b4dab93922879a228543069e2b6.xml,Baroque,False,A major,"Ich dank dir, lieber Herre",4/4,[],,72.0,1784-1787
9,9.0,J. S. Bach,piece-info.cgi?id=2106,59.14285714285714,../data/output/7195df96d3fa2bcdb441a018188ff6916992e51e.xml,Baroque,False,F major,"Ermuntre dich, mein schwacher Geist",4/4,[],,70.0,1736
10,10.0,J. S. Bach,piece-info.cgi?id=2009,54.85714285714285,../data/output/c6541f31073a5c212aa377571a922ac49ad1f1ec.xml,Baroque,False,B- major,"Gott, wie gross ist deine Güte",4/4,[],,70.0,1736
11,11.0,J. S. Bach,piece-info.cgi?id=1006,23.0,../data/output/d648c9718c350ee9a9b298fb62194760e14d33f4.xml,Baroque,False,F major,"Chorale setting ""Gib dich zufrieden und sei stille"" in F major",4/4,[],,240.0, 
12,12.0,J. Ascher,piece-info.cgi?id=449,368.9946428571429,../data/output/67ca3f25108105952d7a4d21ec4556acc62bb7c4.xml,Song,True,C# major,"Alice, Where Art Thou?",4/4,[],,60.0,1890s?
13,13.0,J. S. Bach,piece-info.cgi?id=1009,44.0,../data/output/0392d3dec2c4ee41ae00e70bcbd5d14977846595.xml,Baroque,False,g minor,"Chorale setting ""Gib dich zufrieden und sei stille"" in D minor",4/4,[],,60.0, 
14,14.0,J. S. Bach,piece-info.cgi?id=1622,64.0,../data/output/4bb32ec6d8238495bd4e68f8f0fd0632fa86dd7e.xml,Baroque,False,f minor,Aria “Warum betrübst du dich”,4/4,[],,60.0, 
15,15.0,J. S. Bach,piece-info.cgi?id=78,27.42857142857143,../data/output/3c189b2a42a44e324865650dced912b83991550f.xml,Baroque,False,d minor,Aria,4/4,[],,105.0, 
16,16.0,J. S. Bach,piece-info.cgi?id=1010,44.0,../data/output/b9bfe0722983ba29d950b30f8190c3c01267e6f3.xml,Baroque,False,e minor,"Chorale setting ""Gib dich zufrieden und sei stille"" in E minor",4/4,[],,60.0, 
17,17.0,J. S. Bach,piece-info.cgi?id=40,66.0,../data/output/3b0f375e5a7e2c34b790a469fcf13abecc4f4b77.xml,Baroque,False,C major,Invention 1,4/4,[],,80.0, 
18,18.0,J. S. Bach,piece-info.cgi?id=58,101.25,../data/output/5c0ece9743c199a0ee735a651b2a3b0bad863404.xml,Baroque,False,c minor,Invention 2,4/4,[],,64.0, 
19,19.0,J. S. Bach,piece-info.cgi?id=70,67.5,../data/output/6a32fe1b96da5612561f05c3b98f121e29e19fc0.xml,Baroque,False,D major,Invention 3,4/4,[],,80.0, 
20,20.0,J. S. Bach,piece-info.cgi?id=67,52.0,../data/output/97717acafe3e7ddb4a085432636f807bc7597581.xml,Baroque,False,d minor,Invention 4,4/4,[],,90.0, 
21,21.0,J. S. Bach,piece-info.cgi?id=55,73.14285714285714,../data/output/03e0f5ed4d6ecbfb5816399a5d791555ac97231d.xml,Baroque,False,E- major,Invention 5,4/4,[],,105.0, 
22,22.0,J. S. Bach,piece-info.cgi?id=159,139.5,../data/output/f168ac7d02608c3b532d9455d2c90a22377f35ed.xml,Baroque,False,E major,Invention 6,4/4,[],,40.0, 
23,23.0,J. S. Bach,piece-info.cgi?id=73,61.33333333333333,../data/output/434ee817d627daf6a00bab7819406a84f2e3a6b6.xml,Baroque,False,e minor,Invention 7,4/4,[],,90.0, 
